timestamp,obj_id,cam_id,tx,ty,tz,roll,pitch,yaw,chamfer_mm,accepted
1781515195.510,pb_base,zed2i_1,-0.2872,0.2768,0.0494,-1.98,-1.11,-175.12,8.53,True
1781515387.005,pb_base,zed2i_1,-0.2889,0.2767,0.0407,-3.48,-1.20,-176.16,4.33,True
1781515390.445,pb_base,zed2i_2,-0.2883,0.2751,0.0408,4.35,-1.08,178.64,4.27,True
1781515393.906,pb_base,zed2i_3,-0.2850,0.2807,0.0401,-26.07,-0.52,169.45,5.30,True
1781515412.333,pb_base,zed2i_1,-0.2889,0.2767,0.0408,-3.28,-1.16,-176.04,4.34,True
1781515415.810,pb_base,zed2i_2,-0.2883,0.2755,0.0408,4.27,-0.78,179.60,4.31,True
1781515419.358,pb_base,zed2i_3,-0.2870,0.2768,0.0413,-5.81,-0.64,177.08,4.49,True
1781515436.976,pb_base,zed2i_1,-0.2890,0.2765,0.0406,-3.69,-1.10,-175.95,4.32,True
1781515440.317,pb_base,zed2i_2,-0.2876,0.2742,0.0407,1.96,-1.44,176.86,4.24,True
1781515443.603,pb_base,zed2i_3,-0.2848,0.2808,0.0403,-26.94,-0.76,168.59,5.33,True
1781515461.605,pb_base,zed2i_1,-0.2888,0.2768,0.0408,-3.14,-1.13,-176.17,4.34,True
1781515465.063,pb_base,zed2i_2,-0.2876,0.2742,0.0408,1.45,-1.40,176.93,4.24,True
1781515468.494,pb_base,zed2i_3,-0.2869,0.2767,0.0414,-6.94,-0.67,177.39,4.47,True
1781515486.275,pb_base,zed2i_1,-0.2888,0.2768,0.0409,-3.17,-1.04,-176.22,4.34,True
1781515489.361,pb_base,zed2i_2,-0.2884,0.2755,0.0410,3.77,-0.74,179.41,4.30,True
1781515492.640,pb_base,zed2i_3,-0.2849,0.2810,0.0401,-26.63,-0.20,167.88,5.36,True
1781515511.417,pb_base,zed2i_1,-0.2889,0.2768,0.0408,-2.92,-1.00,-176.24,4.33,True
1781515514.958,pb_base,zed2i_2,-0.2882,0.2756,0.0409,-7.78,0.64,-0.99,4.38,True
1781515518.667,pb_base,zed2i_3,-0.2851,0.2810,0.0401,-25.47,-0.04,168.95,5.32,True
1781613531.179,cooling_screw,zed2i_1,-0.2636,0.2036,0.0219,167.96,1.71,-114.61,1.59,True
1781613531.801,cooling_screw,zed2i_2,-0.2638,0.2060,0.0143,164.80,5.49,34.66,2.11,True
1781613532.505,cooling_screw,zed2i_3,-0.2658,0.1982,0.0186,150.00,11.40,174.67,1.85,True
1781613533.307,cooling_screw,zed2i_1,-0.1493,0.2023,0.0207,163.88,6.09,-110.47,1.87,True
1781613533.963,cooling_screw,zed2i_2,-0.1491,0.2046,0.0164,163.73,14.92,39.36,2.34,True
1781613534.650,cooling_screw,zed2i_3,-0.1524,0.2004,0.0160,152.88,20.04,170.63,2.08,True
1781613535.415,pb_screw,zed2i_1,-0.1991,-0.0107,0.0302,147.06,32.46,-129.93,3.18,True
1781613535.920,pb_screw,zed2i_2,-0.2019,0.0017,0.0356,179.46,0.04,29.15,2.94,True
1781613959.457,cooling_screw,zed2i_1,0.0037,0.5477,0.0195,147.78,12.31,-117.95,1.80,True
1781613960.135,cooling_screw,zed2i_2,0.0045,0.5514,0.0179,167.70,17.93,34.75,2.11,True
1781613960.762,cooling_screw,zed2i_3,0.0039,0.5471,0.0200,153.15,3.63,-175.03,1.83,True
1781613961.387,cooling_screw,zed2i_1,-0.1496,0.2005,0.0194,151.65,13.51,-113.44,1.73,True
1781613961.979,cooling_screw,zed2i_2,-0.1509,0.2051,0.0164,162.74,13.42,38.68,2.10,True
1781613962.641,cooling_screw,zed2i_3,-0.1528,0.1996,0.0170,153.02,20.08,-174.10,1.99,True
1781613963.261,pb_screw,zed2i_1,-0.1992,-0.0047,0.0291,156.10,35.68,-116.20,3.23,True
1781613963.871,pb_screw,zed2i_2,-0.2012,0.0056,0.0339,-176.56,-1.37,41.32,2.91,True
1781614056.980,cooling_screw,zed2i_1,-0.2619,0.3974,0.0224,169.37,6.10,-111.64,1.95,True
1781614057.655,cooling_screw,zed2i_3,-0.2635,0.3962,0.0213,153.16,16.12,177.37,2.19,True
1781614058.289,cooling_screw,zed2i_1,-0.0032,0.0029,0.0215,144.91,4.27,-118.79,2.09,True
1781614058.918,cooling_screw,zed2i_2,-0.0027,0.0010,0.0161,168.61,18.72,42.64,2.16,True
1781614059.475,cooling_screw,zed2i_3,-0.0030,-0.0062,0.0199,135.85,15.98,-176.94,1.85,True
1781614060.237,pb_screw,zed2i_1,-0.3477,0.2026,0.0286,149.43,32.38,-128.53,2.92,True
1781614060.871,pb_screw,zed2i_2,-0.3503,0.2187,0.0272,137.78,23.20,29.66,2.58,True
1781614061.557,pb_screw,zed2i_3,-0.3554,0.2033,0.0313,153.00,16.64,174.83,2.84,True
1781614650.410,cooling_screw,zed2i_1,-0.2664,0.2042,0.0222,165.56,5.03,-128.15,1.90,True
1781614651.104,cooling_screw,zed2i_2,-0.2673,0.2050,0.0157,160.22,9.98,42.11,2.10,True
1781614651.789,cooling_screw,zed2i_3,-0.2687,0.1986,0.0173,143.94,13.52,173.80,2.11,True
1781614652.387,pb_screw,zed2i_1,0.0116,0.5426,0.0318,153.72,10.84,-104.22,2.68,True
1781614652.995,pb_screw,zed2i_2,0.0082,0.5609,0.0256,141.32,45.46,23.10,2.36,True
